Label,Element Type,Description,Tags,Influence,Image,Born,Died,Website,Blog
Yukihiro Matsumoto,Person,"人称 Matz,[Ruby](https://en.wikipedia.org/wiki/Ruby_%28programming_language%29) 语言的创造者,强调“程序员的快乐”。",Ruby,8.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/5/57/Yukihiro_Matsumoto_%282018%29.jpg/500px-Yukihiro_Matsumoto_%282018%29.jpg,1965,,https://github.com/matz,
Anders Hejlsberg,Person,"Turbo Pascal、Delphi 的核心作者,微软 [C#](https://en.wikipedia.org/wiki/C_Sharp_%28programming_language%29) 与 [TypeScript](https://en.wikipedia.org/wiki/TypeScript) 的首席设计师。",C#|TypeScript,8.6,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Anders_Hejlsberg.jpg/500px-Anders_Hejlsberg.jpg,1960,,https://github.com/ahejlsberg,
Graydon Hoare,Person,"[Rust](https://en.wikipedia.org/wiki/Rust_%28programming_language%29) 语言的最初创造者,主打内存安全与高性能。",Rust,7.8,https://placehold.co/300x300/5a6473/ffffff/png?text=Graydon%0AHoare,1977,,https://github.com/graydon,
Junio Hamano,Person,自 2005 年起担任 [Git](https://en.wikipedia.org/wiki/Git) 的首席维护者。,Git,7.0,https://placehold.co/300x300/5a6473/ffffff/png?text=Junio%0AHamano,,,https://github.com/gitster,
Turing machine,Project,"[图灵机](https://en.wikipedia.org/wiki/Turing_machine) —— Turing 提出的抽象计算模型,定义了“可计算”的边界,是计算理论的基石。",,9.5,https://placehold.co/300x300/2c3e50/ffffff/png?text=Turing%0Amachine,,,,
von Neumann architecture,Project,"[冯·诺依曼体系结构](https://en.wikipedia.org/wiki/Von_Neumann_architecture) —— 程序与数据共用存储的计算机设计,现代计算机的通用蓝图。",,9.0,https://placehold.co/300x300/2c3e50/ffffff/png?text=von%0ANeumann%0Aarchitecture,,,,
Information theory,Project,"[信息论](https://en.wikipedia.org/wiki/Information_theory) —— Shannon 创立,用“比特”量化信息,奠定通信与压缩的理论基础。",,9.0,https://placehold.co/300x300/2c3e50/ffffff/png?text=Information%0Atheory,,,,
Lisp,Project,"[Lisp](https://en.wikipedia.org/wiki/Lisp_%28programming_language%29) —— McCarthy 创造的函数式语言家族,以括号与表处理著称,AI 研究的元老语言。",,8.5,https://placehold.co/300x300/2c3e50/ffffff/png?text=Lisp,,,,
COBOL,Project,"[COBOL](https://en.wikipedia.org/wiki/COBOL) —— 面向商业数据处理的早期语言,至今仍运行于大量金融系统。",,7.5,https://placehold.co/300x300/2c3e50/ffffff/png?text=COBOL,,,,
Pascal,Project,"[Pascal](https://en.wikipedia.org/wiki/Pascal_%28programming_language%29) —— Wirth 设计的结构化教学语言,影响深远。",,7.0,https://placehold.co/300x300/2c3e50/ffffff/png?text=Pascal,,,,
Fortran,Project,"[Fortran](https://en.wikipedia.org/wiki/Fortran) —— 首个广泛使用的高级语言,Backus 主导,科学计算的常青树。",,8.0,https://placehold.co/300x300/2c3e50/ffffff/png?text=Fortran,,,https://fortran-lang.org,
Quicksort,Project,[快速排序](https://en.wikipedia.org/wiki/Quicksort) —— Hoare 提出的高效分治排序算法。,,7.5,https://placehold.co/300x300/2c3e50/ffffff/png?text=Quicksort,,,,
CSP,Project,"[CSP](https://en.wikipedia.org/wiki/Communicating_sequential_processes) —— Hoare 提出的并发理论,影响了 Go 等语言的并发模型。",,7.0,https://placehold.co/300x300/2c3e50/ffffff/png?text=CSP,,,,
BSD,Project,"[BSD](https://en.wikipedia.org/wiki/Berkeley_Software_Distribution) —— 伯克利的 Unix 衍生系统,催生了 FreeBSD、macOS 内核等。",,8.5,https://placehold.co/300x300/2c3e50/ffffff/png?text=BSD,,,,
OpenBSD,Project,"[OpenBSD](https://en.wikipedia.org/wiki/OpenBSD) —— 以安全与代码正确性著称的类 Unix 系统,de Raadt 创立。",,7.0,https://placehold.co/300x300/2c3e50/ffffff/png?text=OpenBSD,,,https://www.openbsd.org,
vi,Project,"[vi](https://en.wikipedia.org/wiki/Vi_%28text_editor%29) —— Bill Joy 编写的经典模式化编辑器,Vim 的前身。",,7.5,https://placehold.co/300x300/1e1e1e/ffffff/png?text=vi,,,,
GCC,Project,"[GCC](https://en.wikipedia.org/wiki/GNU_Compiler_Collection) —— GNU 编译器套件,支持 C、C++ 等多种语言。",,8.5,https://placehold.co/300x300/1e1e1e/ffffff/png?text=GCC,,,https://gcc.gnu.org,
OpenSSH,Project,"[OpenSSH](https://en.wikipedia.org/wiki/OpenSSH) —— SSH 协议的主流开源实现,安全远程登录的基石。",,8.0,https://placehold.co/300x300/1e1e1e/ffffff/png?text=OpenSSH,,,https://www.openssh.com,
QEMU,Project,"[QEMU](https://en.wikipedia.org/wiki/QEMU) —— 开源的机器模拟器与虚拟化工具,Bellard 创造。",,7.5,https://placehold.co/300x300/1e1e1e/ffffff/png?text=QEMU,,,https://www.qemu.org,
Perl,Project,"[Perl](https://en.wikipedia.org/wiki/Perl) —— Larry Wall 创造的文本处理利器,曾是 Web 与脚本的“瑞士军刀”。",,7.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/3/34/Perl-logo.svg/500px-Perl-logo.svg.png,,,https://www.perl.org,
Ruby,Project,"[Ruby](https://en.wikipedia.org/wiki/Ruby_%28programming_language%29) —— Matz 创造的优雅动态语言,因 Rails 而流行。",,8.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ruby_logo.svg/500px-Ruby_logo.svg.png,,,https://www.ruby-lang.org,
C#,Project,"[C#](https://en.wikipedia.org/wiki/C_Sharp_%28programming_language%29) —— 微软的现代面向对象语言,.NET 平台核心。",,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/d/d2/C_Sharp_Logo_2023.svg/500px-C_Sharp_Logo_2023.svg.png,,,https://dotnet.microsoft.com/languages/csharp,
TypeScript,Project,"[TypeScript](https://en.wikipedia.org/wiki/TypeScript) —— 为 JavaScript 添加静态类型的超集,微软出品。",,8.5,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Typescript.svg/500px-Typescript.svg.png,,,https://www.typescriptlang.org,
Rust,Project,"[Rust](https://en.wikipedia.org/wiki/Rust_%28programming_language%29) —— 兼顾内存安全与高性能的系统语言,无需垃圾回收。",,8.3,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Rust_programming_language_black_logo.svg/500px-Rust_programming_language_black_logo.svg.png,,,https://www.rust-lang.org,
SQLite,Project,"[SQLite](https://en.wikipedia.org/wiki/SQLite) —— 嵌入式零配置关系数据库,部署量居世界之最。",,8.3,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/6/69/SQLite3.png/500px-SQLite3.png,,,https://www.sqlite.org,
curl,Project,"[curl](https://en.wikipedia.org/wiki/CURL) —— 命令行数据传输工具,libcurl 被无数软件内置。",,7.8,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Curl-logo.svg/500px-Curl-logo.svg.png,,,https://curl.se,
FFmpeg,Project,"[FFmpeg](https://en.wikipedia.org/wiki/FFmpeg) —— 处理音视频的开源框架,几乎是多媒体处理的事实标准。",,8.0,https://i0.wp.com/upload.wikimedia.org/wikipedia/commons/thumb/5/5f/FFmpeg_Logo_new.svg/500px-FFmpeg_Logo_new.svg.png,,,https://ffmpeg.org,
