Label,Element Type,Description,Tags,Influence,Image,Born,Died,Wikipedia
Theory of relativity,Project,"[相对论](https://en.wikipedia.org/wiki/Theory_of_relativity) —— 爱因斯坦关于时空与引力的理论,含狭义与广义相对论。",,9.7,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Theory%0Aof%0Arelativity,,,
Photoelectric effect,Project,"[光电效应](https://en.wikipedia.org/wiki/Photoelectric_effect) —— 光照射金属逸出电子,证明光的量子性。",,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Photoelectric%0Aeffect,,,
Mass-energy equivalence,Project,"[质能等价](https://en.wikipedia.org/wiki/Mass%E2%80%93energy_equivalence) —— E=mc²,质量与能量可相互转化。",,9.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Mass-energy%0Aequivalence,,,
Quantum mechanics,Project,"[量子力学](https://en.wikipedia.org/wiki/Quantum_mechanics) —— 描述微观粒子行为的理论,20 世纪物理学两大支柱之一。",,9.7,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Quantum%0Amechanics,,,
Maxwell's equations,Project,[麦克斯韦方程组](https://en.wikipedia.org/wiki/Maxwell%27s_equations) —— 四个方程统一电、磁与电磁波(光)。,,9.4,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Maxwell%27s%0Aequations,,,
Electromagnetism,Project,[电磁学](https://en.wikipedia.org/wiki/Electromagnetism) —— 研究电与磁相互作用的物理分支。,,9.4,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Electromagnetism,,,
Statistical mechanics,Project,[统计力学](https://en.wikipedia.org/wiki/Statistical_mechanics) —— 用大量粒子的统计行为解释宏观热力学性质。,,8.6,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Statistical%0Amechanics,,,
Evolution,Project,"[进化论](https://en.wikipedia.org/wiki/Evolution) —— 物种随世代变化的理论,生命多样性的统一解释。",,9.6,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Evolution,,,
Natural selection,Project,"[自然选择](https://en.wikipedia.org/wiki/Natural_selection) —— 适应环境者更易存活繁衍,进化的核心机制。",,9.4,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Natural%0Aselection,,,
Heliocentrism,Project,"[日心说](https://en.wikipedia.org/wiki/Heliocentrism) —— 地球与行星绕太阳运行,取代地心说。",,9.4,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Heliocentrism,,,
Telescope astronomy,Project,[望远镜天文学](https://en.wikipedia.org/wiki/Galileo%27s_telescope) —— 伽利略以望远镜观测月面、木卫与金星相位。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Telescope%0Aastronomy,,,
Laws of planetary motion,Project,"[行星运动定律](https://en.wikipedia.org/wiki/Kepler%27s_laws_of_planetary_motion) —— 开普勒三定律,描述行星沿椭圆轨道运行。",,9.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Laws%0Aof%0Aplanetary%0Amotion,,,
Electromagnetic induction,Project,"[电磁感应](https://en.wikipedia.org/wiki/Electromagnetic_induction) —— 变化磁场产生电流,发电机的原理。",,8.8,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Electromagnetic%0Ainduction,,,
Radioactivity,Project,[放射性](https://en.wikipedia.org/wiki/Radioactive_decay) —— 不稳定原子核自发衰变并放出射线。,,9.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Radioactivity,,,
Bohr model,Project,[玻尔模型](https://en.wikipedia.org/wiki/Bohr_model) —— 电子在量子化轨道绕核运行的原子模型。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Bohr%0Amodel,,,
Black-body radiation,Project,[黑体辐射](https://en.wikipedia.org/wiki/Black-body_radiation) —— 理想物体的热辐射;普朗克的解释开启量子论。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Black-body%0Aradiation,,,
Uncertainty principle,Project,[不确定性原理](https://en.wikipedia.org/wiki/Uncertainty_principle) —— 粒子的位置与动量无法同时被精确确定。,,8.8,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Uncertainty%0Aprinciple,,,
Schrödinger equation,Project,[薛定谔方程](https://en.wikipedia.org/wiki/Schr%C3%B6dinger_equation) —— 描述量子态随时间演化的基本方程。,,8.8,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Schr%C3%B6dinger%0Aequation,,,
Antimatter,Project,"[反物质](https://en.wikipedia.org/wiki/Antimatter) —— 与正常物质电荷相反的粒子,由狄拉克预言。",,8.3,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Antimatter,,,
Quantum electrodynamics,Project,"[量子电动力学](https://en.wikipedia.org/wiki/Quantum_electrodynamics) —— 光与物质相互作用的量子场论,精度极高。",,8.7,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Quantum%0Aelectrodynamics,,,
Alternating current,Project,"[交流电](https://en.wikipedia.org/wiki/Alternating_current) —— 方向周期变化的电流,现代电力传输的基础。",,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Alternating%0Acurrent,,,
Genetics,Project,"[遗传学](https://en.wikipedia.org/wiki/Genetics) —— 研究基因、遗传与变异的学科,源于孟德尔。",,9.2,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Genetics,,,
Germ theory,Project,"[细菌致病学说](https://en.wikipedia.org/wiki/Germ_theory_of_disease) —— 许多疾病由微生物引起,革新了医学与公共卫生。",,9.2,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Germ%0Atheory,,,
Vaccination,Project,"[疫苗接种](https://en.wikipedia.org/wiki/Vaccination) —— 用减弱或灭活病原激发免疫,预防传染病。",,9.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Vaccination,,,
Periodic table,Project,"[元素周期表](https://en.wikipedia.org/wiki/Periodic_table) —— 按原子序与性质排列元素的表格,化学的地图。",,9.3,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Periodic%0Atable,,,
Conservation of mass,Project,[质量守恒定律](https://en.wikipedia.org/wiki/Conservation_of_mass) —— 化学反应前后总质量不变。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Conservation%0Aof%0Amass,,,
Modern chemistry,Project,"[近代化学](https://en.wikipedia.org/wiki/History_of_chemistry) —— 以定量实验取代炼金术,拉瓦锡等奠定。",,8.7,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Modern%0Achemistry,,,
Entropy,Project,"[熵](https://en.wikipedia.org/wiki/Entropy) —— 衡量无序程度的物理量,与热力学第二定律密切相关。",,8.7,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Entropy,,,
Geometry,Project,[几何学](https://en.wikipedia.org/wiki/Geometry) —— 研究形状、大小与空间关系的数学分支。,,9.2,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Geometry,,,
Archimedes' principle,Project,[阿基米德原理](https://en.wikipedia.org/wiki/Archimedes%27_principle) —— 浸入流体的物体受到等于排开流体重量的浮力。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Archimedes%27%0Aprinciple,,,
Number theory,Project,"[数论](https://en.wikipedia.org/wiki/Number_theory) —— 研究整数性质的数学分支,被誉为“数学皇后”。",,9.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Number%0Atheory,,,
Normal distribution,Project,"[正态分布](https://en.wikipedia.org/wiki/Normal_distribution) —— 自然界普遍的钟形概率分布,又称高斯分布。",,8.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Normal%0Adistribution,,,
Graph theory,Project,"[图论](https://en.wikipedia.org/wiki/Graph_theory) —— 研究点与边构成的网络,源自欧拉的七桥问题。",,8.3,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Graph%0Atheory,,,
Riemann hypothesis,Project,[黎曼猜想](https://en.wikipedia.org/wiki/Riemann_hypothesis) —— 关于素数分布的著名未解难题。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Riemann%0Ahypothesis,,,
Non-Euclidean geometry,Project,"[非欧几何](https://en.wikipedia.org/wiki/Non-Euclidean_geometry) —— 突破平行公理的几何,为广义相对论提供数学工具。",,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Non-Euclidean%0Ageometry,,,
Probability theory,Project,[概率论](https://en.wikipedia.org/wiki/Probability_theory) —— 研究随机现象规律的数学分支。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Probability%0Atheory,,,
Set theory,Project,"[集合论](https://en.wikipedia.org/wiki/Set_theory) —— 研究集合的数学基础,康托尔创立。",,9.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Set%0Atheory,,,
Hilbert space,Project,"[希尔伯特空间](https://en.wikipedia.org/wiki/Hilbert_space) —— 完备的内积空间,量子力学的数学舞台。",,8.3,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Hilbert%0Aspace,,,
Topology,Project,[拓扑学](https://en.wikipedia.org/wiki/Topology) —— 研究在连续变形下保持不变的空间性质。,,8.3,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Topology,,,
Chaos theory,Project,[混沌理论](https://en.wikipedia.org/wiki/Chaos_theory) —— 研究对初始条件敏感的确定性系统(蝴蝶效应)。,,8.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Chaos%0Atheory,,,
Abstract algebra,Project,[抽象代数](https://en.wikipedia.org/wiki/Abstract_algebra) —— 研究群、环、域等代数结构。,,8.3,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Abstract%0Aalgebra,,,
Noether's theorem,Project,[诺特定理](https://en.wikipedia.org/wiki/Noether%27s_theorem) —— 每一种连续对称性对应一个守恒律。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Noether%27s%0Atheorem,,,
Incompleteness theorems,Project,[哥德尔不完备定理](https://en.wikipedia.org/wiki/G%C3%B6del%27s_incompleteness_theorems) —— 任何足够强的形式系统都有不可证明的真命题。,,9.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Incompleteness%0Atheorems,,,
Hippocratic medicine,Project,"[希波克拉底医学](https://en.wikipedia.org/wiki/Hippocrates) —— 将疾病归因于自然而非神灵,奠定理性医学传统。",,8.8,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Hippocratic%0Amedicine,,,
Bacteriology,Project,[细菌学](https://en.wikipedia.org/wiki/Bacteriology) —— 研究细菌及其与疾病关系的学科。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Bacteriology,,,
Penicillin,Project,"[青霉素](https://en.wikipedia.org/wiki/Penicillin) —— 首个广泛使用的抗生素,挽救了无数生命。",,9.2,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Penicillin,,,
Antibiotics,Project,[抗生素](https://en.wikipedia.org/wiki/Antibiotic) —— 抑制或杀灭细菌的药物。,,8.8,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Antibiotics,,,
Antiseptic surgery,Project,"[无菌外科](https://en.wikipedia.org/wiki/Antiseptic) —— 通过消毒减少手术感染,李斯特倡导。",,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Antiseptic%0Asurgery,,,
Human anatomy,Project,"[人体解剖学](https://en.wikipedia.org/wiki/Human_body) —— 研究人体结构的学科,维萨里使其建立在实证之上。",,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Human%0Aanatomy,,,
Blood circulation,Project,"[血液循环](https://en.wikipedia.org/wiki/Circulatory_system) —— 心脏驱动血液在全身循环,哈维阐明。",,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Blood%0Acirculation,,,
Polio vaccine,Project,[脊髓灰质炎疫苗](https://en.wikipedia.org/wiki/Polio_vaccine) —— 有效预防小儿麻痹症的疫苗。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Polio%0Avaccine,,,
Modern nursing,Project,[现代护理](https://en.wikipedia.org/wiki/Nursing) —— 南丁格尔将护理发展为专业学科。,,8.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Modern%0Anursing,,,
Medical statistics,Project,[医学统计](https://en.wikipedia.org/wiki/Medical_statistics) —— 用统计方法分析健康与医疗数据。,,7.8,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Medical%0Astatistics,,,
Taxonomy,Project,"[生物分类学](https://en.wikipedia.org/wiki/Taxonomy_%28biology%29) —— 对生物进行命名与分类的系统,林奈奠定。",,8.8,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Taxonomy,,,
Microbiology,Project,[微生物学](https://en.wikipedia.org/wiki/Microbiology) —— 研究细菌、病毒等微小生物的学科。,,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Microbiology,,,
DNA structure,Project,"[DNA 双螺旋结构](https://en.wikipedia.org/wiki/Nucleic_acid_double_helix) —— 遗传信息的分子载体,1953 年揭示。",,9.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=DNA%0Astructure,,,
Atomic theory,Project,"[原子论](https://en.wikipedia.org/wiki/Atomic_theory) —— 物质由原子构成的理论,道尔顿提出近代形式。",,9.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Atomic%0Atheory,,,
Boyle's law,Project,[玻意耳定律](https://en.wikipedia.org/wiki/Boyle%27s_law) —— 定温下气体压强与体积成反比。,,8.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Boyle%27s%0Alaw,,,
Chemical bond,Project,"[化学键](https://en.wikipedia.org/wiki/Chemical_bond) —— 原子间的相互作用力,鲍林系统阐释。",,8.5,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Chemical%0Abond,,,
Expanding universe,Project,"[宇宙膨胀](https://en.wikipedia.org/wiki/Expansion_of_the_universe) —— 星系彼此远离,支持大爆炸理论。",,8.8,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Expanding%0Auniverse,,,
Astronomical observation,Project,"[天文观测](https://en.wikipedia.org/wiki/Observational_astronomy) —— 通过测量天体获取数据,第谷的记录尤为精确。",,8.0,https://placehold.co/300x300/2c3e50/ecf0f1/png?text=Astronomical%0Aobservation,,,
